header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.fused_instr,0,0,0
core_with_l2.core.backend.ctrlBlock.intDq.empty,10126114,22849685,22504975
core_with_l2.core.backend.ctrlBlock.intDq.exHalf,319,5165975,3562145
core_with_l2.core.backend.ctrlBlock.intDq.fake_block,912762,465265,380818
core_with_l2.core.backend.ctrlBlock.intDq.full,1382358,5136880,3547666
core_with_l2.core.backend.ctrlBlock.intDq.in,22670767,23758582,24122419
core_with_l2.core.backend.ctrlBlock.intDq.out,22493198,23303827,23676526
